score,members,episodes,genre_count,prediction
7.21,14601,2,5,1
7.0,5427,3,3,1
7.82,26681,2,1,2
5.84,11268,2,3,1
8.31,65759,2,1,2
7.53,32929,2,2,2
6.8,4417,4,1,2
6.88,2540,2,-1,2
6.91,1580,3,2,2
7.78,31550,2,1,2
7.44,26492,4,2,2
7.15,12787,2,1,2
7.12,11877,2,1,2
6.72,10775,2,1,2
6.95,10644,2,2,2
6.84,9685,2,1,2
6.72,9544,2,2,2
6.89,9427,2,1,2
6.65,9368,2,1,2
6.35,7392,2,1,2
6.83,7335,2,1,2
6.1,7034,2,1,2
6.62,6542,2,2,2
6.48,6283,4,1,2
5.72,6016,2,1,2
6.31,5992,2,1,2
5.78,5386,2,2,2
5.66,4764,2,1,2
5.21,3962,4,1,2
7.43,19911,4,1,2
6.79,11310,2,1,2
6.61,8055,4,1,2
6.85,7750,6,1,2
6.42,7633,4,1,2
6.94,7550,2,1,2
6.4,6206,2,1,2
6.45,5884,2,1,2
5.83,5685,2,1,2
6.33,5146,4,1,2
5.65,4880,2,1,2
5.49,3156,2,1,2
6.89,41410,4,3,1
6.25,6702,2,1,2
6.55,5773,2,1,2
6.98,5619,2,2,2
5.5,5602,2,1,2
6.4,5187,2,1,2
6.59,4820,2,1,2
6.41,4635,2,1,2
5.68,4572,2,1,2
6.19,4355,2,1,2
6.31,4266,4,1,2
6.21,4029,2,1,2
6.18,3640,2,1,2
5.73,3538,2,1,2
6.32,3346,2,1,2
5.94,3161,2,1,2
5.57,3009,2,1,2
6.82,6587,2,1,2
7.17,5768,4,1,2
6.86,5371,2,1,2
5.84,5133,2,2,2
5.63,4733,4,2,2
6.58,4403,2,1,2
5.79,3797,2,2,2
5.64,3594,2,1,2
6.21,3308,2,1,2
5.93,3265,2,1,2
6.34,3262,2,1,2
6.07,3052,6,4,1
5.89,2888,2,1,2
5.91,2803,2,1,2
